OBJECTID,Site_Name,DNO_Area,Substation_ID,Site_Type,Transformer_Rating__kVA_,Firm_Capacity__MVA_,Customer_Numbers,Site_Level,Three_Phase_,Primary_Voltage__kV_,Secondary_Voltage__kV_,Maximum_Demand__kW_,Upstream_Substation,Postcode,Postcodes_Fed,Postal_Sectors_Fed,Eastings,Northings,slope,slope_dimensionless,class,mannings,df_class,rofrs_0_2m,rofrs_0_3m,rofrs_0_6m,rofrs_0_9m,rofrs_1_2m,rofsw_0_2m,rofsw_0_3m,rofsw_0_6m,rofsw_0_9m,rofsw_1_2m,rofrs_high,rofrs_med,rofrs_low,rofsw_high,rofsw_med,rofsw_low,rof_high,rof_med,rof_low,velocity_high,velocity_med,velocity_low,df_high,df_med,df_low,hazard_high,hazard_med,hazard_low,degree_high,degree_med,degree_low
378,ST HELENS RETAIL,North East,94435485376,Ground Mounted,1000,Not Applicable,15,Distribution,Unknown,11,0.4,223,FYLANDS BRIDGE,DL14 9TT,"DL14 9TT, DL14 9SS",Not Applicable,419979,527287,1.359916449,0.023739478,Urban,0.013,Urban,,,,,,Low,Low,Very low,Very low,Very low,0,0,0,0,0,0.3,0,0,0.3,0,0,5.311368049,0,0,1,0,0,2.743410415,,,Extreme
4007,KIBBLESWORTH LANDFILL,North East,6.48081E+11,Pole Mounted,200,Not Applicable,≤5,Distribution,Yes,20,0.4,Redacted,BIRTLEY GROVE 66/20KV,DH2 1BQ,Redacted,Not Applicable,425686,556168,1.351653576,0.023595183,Urban,0.013,Urban,High,Medium,Very low,Very low,Very low,,,,,,0.2,0.3,0.3,0,0,0,0.2,0.3,0.3,4.040995021,5.295201463,5.295201463,0,1,1,0.908199004,2.738560439,2.738560439,Moderate,Extreme,Extreme
1667,CROOK MARKET,North East,7.51896E+11,Ground Mounted,750,Not Applicable,336,Distribution,Yes,20,0.4,270.2,BRANCEPETH,DL15 8QF,"DL15 9AZ, DL15 9BG, DL15 8QT, DL15 8NH, DL15 9HR, DL15 9HS, DL15 8NJ, DL15 8NQ, DL15 8QU, DL15 9DT, DL15 9EE, DL15 8QX, DL15 9HP, DL15 9EJ, DL15 8QF, DL15 9HT, DL15 8NG, DL15 9EF, DL15 8NE, DL15 8QQ, DL15 9DX, DL15 8QH, DL15 9EH, DL15 9UA, DL15 8QE, DL15 9EB, DL15 9DU, DL15 8NF, DL15 9BE",Not Applicable,416414,535463,1.349642873,0.02356007,Urban,0.013,Urban,,,,,,High,Very low,Very low,Very low,Very low,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,4.037987122,4.037987122,4.037987122,0,0,0,0.907597424,0.907597424,0.907597424,Moderate,Moderate,Moderate
1258,MERTON GRANGE,North East,7.69358E+11,Pole Mounted,25,Not Applicable,≤5,Distribution,No,20,0.4,Redacted,SKERNESIDE,TS21 1NJ,Redacted,Not Applicable,434739,524128,1.347656846,0.023525388,Suburban,0.013,Urban,,,,,,Low,Very low,Very low,Very low,Very low,0,0,0,0,0,0.2,0,0,0.2,0,0,4.035013941,0,0,0,0,0,0.907002788,,,Moderate
3418,COUNDON SEWAGE,North East,5.21354E+11,Pole Mounted,100,Not Applicable,6,Distribution,Unknown,20,0.4,10.3,SPENNYMOOR 66/20KV,DL14 8EW,"DL14 8ER, DL14 8ET",Not Applicable,425730,530238,1.345097184,0.023480688,Improved grassland,0.04,Pasture/Arable,High,High,Very low,Very low,Very low,High,High,Very low,Very low,Very low,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.716760025,1.716760025,1.716760025,0,0,0,0.665028007,0.665028007,0.665028007,Low,Low,Low
3860,RIVER BEND,North East,69828702277,Pole Mounted,50,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,CONSETT,DH8 9NL,Redacted,Not Applicable,403075,550873,1.320783854,0.023056111,Broadleaved woodland,0.1,Woodland,Low,Low,Very low,Very low,Very low,,,,,,0,0,0.3,0,0,0,0,0,0.3,0,0,0.680467202,0,0,0.5,0,0,0.854140161,,,Moderate
3437,SPENNYMOOR CENTRAL,North East,7.38533E+11,Ground Mounted,500,Not Applicable,31,Distribution,Yes,11,0.4,131.5,LOW SPENNYMOOR,DL16 6FJ,"DL16 6FJ, DL16 6PZ, DL16 6ED, DL16 6ND, DL16 6DJ, DL16 6EB",Not Applicable,425969,533962,1.318995953,0.02302489,Suburban,0.013,Urban,,,,,,Low,Very low,Very low,Very low,Very low,0,0,0,0,0,0.2,0,0,0.2,0,0,3.991861129,0,0,0,0,0,0.898372226,,,Moderate
487,BILDERSHAW,North East,1.69063E+11,Pole Mounted,50,Not Applicable,10,Distribution,Unknown,20,0.4,19.6,SKERNESIDE,DL14 9PL,DL14 9PL,Not Applicable,420327,524202,1.316009045,0.022972731,Improved grassland,0.04,Pasture/Arable,,,,,,High,High,Very low,Very low,Very low,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,1.698089162,1.698089162,1.698089162,0,0,0,0.659426749,0.659426749,0.659426749,Low,Low,Low
3617,PETERLEE EDEN SCHOOL,North East,6.77529E+11,Ground Mounted,500,Not Applicable,≤5,Distribution,Unknown,11,0.4,Redacted,SHOTTON,SR8 5NJ,Redacted,Not Applicable,443434,541296,1.305833697,0.022795044,Urban,0.013,Urban,,,,,,Low,Very low,Very low,Very low,Very low,0,0,0,0,0,0.2,0,0,0.2,0,0,3.971886839,0,0,0,0,0,0.894377368,,,Moderate
1047,PRESTON CARR,North East,7.24544E+11,Pole Mounted,25,Not Applicable,≤5,Distribution,No,20,0.4,Redacted,SKERNESIDE,DL17 0LQ,Redacted,Not Applicable,431870,526475,1.303310513,0.022750984,Improved grassland,0.04,Pasture/Arable,High,High,High,High,Medium,,,,,,0.9,1.2,1.2,0,0,0,0.9,1.2,1.2,3.515079124,4.258215107,4.258215107,0.5,0.5,0.5,4.113571211,6.209858129,6.209858129,Extreme,Extreme,Extreme
1010,SHILDON BERESFORD,North East,8.12885E+11,Ground Mounted,750,Not Applicable,224,Distribution,Yes,11,0.4,162.7,FYLANDS BRIDGE,DL4 2JJ,"DL4 2LS, DL4 2LP, DL4 2RF, DL4 2DS, DL4 2JG, DL4 2JD, DL4 2JQ, DL4 2RA, DL4 2DT, DL4 2JJ, DL4 2JA, DL4 2LN, DL4 2DY, DL4 2JF, DL4 2DX, DL4 2DZ",Not Applicable,423126,525517,1.292221546,0.022557345,Suburban,0.013,Urban,,,,,,Low,Very low,Very low,Very low,Very low,0,0,0,0,0,0.2,0,0,0.2,0,0,3.951123823,0,0,0,0,0,0.890224765,,,Moderate
1165,MORDON BORE,North East,26112732784,Pole Mounted,200,Not Applicable,≤5,Distribution,Yes,20,0.4,Redacted,SKERNESIDE,TS21 2HE,Redacted,Not Applicable,433974,525403,1.286317468,0.022454248,Suburban,0.013,Urban,High,High,High,Very low,Very low,,,,,,0.6,0.6,0.6,0,0,0,0.6,0.6,0.6,8.199865625,8.199865625,8.199865625,1,1,1,6.219919375,6.219919375,6.219919375,Extreme,Extreme,Extreme
3475,SHINCLIFFE WEST,North East,41754208303,Ground Mounted,315,Not Applicable,114,Distribution,Yes,11,0.4,175,BELMONT,DH1 2NE,"DH1 2SZ, DH1 2NH, DH1 2NN, DH1 2NG, DH1 2NB, DH1 2NF, DH1 2NQ, DH1 2NJ, DH1 2ND, DH1 2LY, DH1 2NA, DH1 2NE, DH1 2YH, DH1 2UE, DH1 2NL, DH6 1QU",Not Applicable,428876,540781,1.276203632,0.02227764,Suburban,0.013,Urban,Medium,Medium,Low,Low,Low,Low,Very low,Very low,Very low,Very low,0,0.3,1.2,0,0,0.2,0,0.3,1.2,0,5.145237244,12.96518542,0,1,1,0,2.693571173,17.15822251,,Extreme,Extreme
3965,STANLEY QUEENS PARADE,North East,1.4274E+11,Ground Mounted,500,Not Applicable,123,Distribution,Yes,11,0.4,119.1,ANNFIELD 66/20KV,DH9 8JQ,"DH9 8JS, DH9 8JZ, DH9 8QU, DH9 8EZ, DH9 8QS, DH9 8JT, DH9 8JY, DH9 8QN, DH7 0JB, DH9 8QP, DH9 8QT, DH9 8LB, DH9 8JX, DH9 8JU, DH9 8QR",Not Applicable,416777,551763,1.25904429,0.021978006,Suburban,0.013,Urban,,,,,,High,High,Very low,Very low,Very low,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,5.110518454,5.110518454,5.110518454,1,1,1,2.683155536,2.683155536,2.683155536,Extreme,Extreme,Extreme
