objectid,site_name,dno_area,substation_id,site_type,transformer_rating__kva,firm_capacity__mva,customer_numbers,customer_numbers_filtered,site_level,three_phase,primary_voltage__kv_,secondary_voltage__kv_,maximum_demand__kw_,upstream_substation,postcode,postcodes_fed,postal_sectors_fed,eastings,northings,slope,slope_dimensionless,twi,spi,class,mannings,df_class,rofrs_0_2m,rofrs_0_3m,rofrs_0_6m,rofrs_0_9m,rofrs_1_2m,rofsw_0_2m,rofsw_0_3m,rofsw_0_6m,rofsw_0_9m,rofsw_1_2m,rofrs_high,rofrs_med,rofrs_low,rofsw_high,rofsw_med,rofsw_low,rof_high,rof_med,rof_low,velocity_high,velocity_med,velocity_low,df_high,df_med,df_low,hazard_high,hazard_med,hazard_low,degree_high,degree_med,degree_low,degree_high_class,degree_med_class,degree_low_class,degree_high_norm,degree_med_norm,degree_low_norm,twi_class,twi_class_norm,spi_class,spi_class_norm,combined_norm,site_type_class_high,site_type_class_med,site_type_class_low,site_type_norm_high,site_type_norm_med,site_type_norm_low,customers_class,customers_class_norm,high,med,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,HURY RESERVOIR,North East,9.11465E+11,Pole Mounted,50,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9UP,Redacted,Not Applicable,396736,519548,11.18737698,0.197776391,6.225788593,19.77763939,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,5,1,0.75,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,LAITHKIRK SIDINGS,North East,7.18293E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 0PL,Redacted,Not Applicable,395520,524357,7.885160446,0.13849749,4.972635269,2.769949675,Broadleaved woodland,0.1,Woodland,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,3,0.5,0.25,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,LARTINGTON NABY,North East,3.41777E+11,Pole Mounted,8,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9DW,Redacted,Not Applicable,400713,518111,2.593742609,0.045300298,6.495638847,1.359008908,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,3,0.5,0.5,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,LARTINGTON NORTH GILL,North East,6.48916E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9DL,Redacted,Not Applicable,399950,517555,2.93184042,0.051214977,6.883746147,2.560748816,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,3,0.5,0.625,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,LARTINGTON NOVA SCOTIA,North East,3.15365E+11,Pole Mounted,8,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9JG,Redacted,Not Applicable,399025,516003,1.17751658,0.020554435,6.187263489,0.205544367,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,1,0,0.25,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,LARTINGTON RANGE,North East,3.46293E+11,Pole Mounted,50,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9DJ,Redacted,Not Applicable,399683,517187,4.96163559,0.086813992,6.132866859,3.47255969,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,4,0.75,0.625,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,LARTINGTON VALLEY VIEW,North East,3.28402E+11,Pole Mounted,15,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9DL,Redacted,Not Applicable,399406,516985,3.421455145,0.05978674,9.396222115,43.04645157,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,5,1,1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,LOW THORNBERRY,North East,15225519651,Pole Mounted,25,Not Applicable,?5,,Distribution,No,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9JJ,Redacted,Not Applicable,401101,515926,2.071942091,0.036177983,12.21493435,264.0993042,Acid grassland,0.04,Pasture/Arable,,,,,,High,Low,Very low,Very low,Very low,0,0,0,0.2,0.2,0.3,0.2,0.2,0.3,1.626230792,1.626230792,2.130965176,0,0,0.5,0.425246158,0.425246158,1.289289553,Low,Low,Significant,1,1,3,0,0,0.666666667,5,1,5,1,1,1,1,1,0,0,0,1,0,0.25,0.25,0.416666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,LUNEDALE EASTERBECK,North East,8.55934E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,No,20,0.4,Redacted,HARMIRE BRIDGE,DL12 0PW,Redacted,Not Applicable,394447,522186,3.57835412,0.062535389,6.173220158,1.876061678,Calcareous grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,3,0.5,0.5,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,LUNEDALE GRASSHOLME,North East,8.31589E+11,Pole Mounted,50,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 0PW,Redacted,Not Applicable,394879,522684,3.455144405,0.060376851,12.01748943,603.7685547,Acid grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,5,1,1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
